"year","id","hrs1","marital","childs","income","happy","ballot"
2000,256,"Not applicable","Married","2","$25000 or more","Pretty happy","Ballot c"
2000,257,"Not applicable","Married","3","Don't know","Very happy","Ballot a"
2000,258,"Not applicable","Divorced","0","$10000 - 14999","Not too happy","Ballot a"
2000,259,"21","Married","1","$25000 or more","Very happy","Ballot b"
2000,260,"56","Never married","1","$25000 or more","Pretty happy","Ballot c"
2000,261,"55","Separated","2","$25000 or more","Pretty happy","Ballot a"
2000,262,"31","Divorced","1","$25000 or more","Pretty happy","Ballot c"
2000,263,"Not applicable","Widowed","3","$10000 - 14999","Pretty happy","Ballot a"
2000,264,"60","Married","3","$25000 or more","Pretty happy","Ballot c"
2000,265,"Not applicable","Separated","2","Lt $1000","Not too happy","Ballot b"
2000,266,"30","Widowed","0","Refused","Very happy","Ballot c"
2000,267,"Not applicable","Married","0","$25000 or more","Pretty happy","Ballot a"
2000,268,"Not applicable","Never married","1","$15000 - 19999","Pretty happy","Ballot c"
2000,269,"55","Never married","0","$25000 or more","Pretty happy","Ballot b"
2000,270,"Not applicable","Married","3","$10000 - 14999","Very happy","Ballot a"
2000,271,"60","Married","1","$25000 or more","Pretty happy","Ballot b"
2000,272,"37","Never married","0","$25000 or more","Pretty happy","Ballot b"
2000,273,"49","Never married","0","$10000 - 14999","Pretty happy","Ballot b"
2000,274,"40","Never married","0","$25000 or more","Pretty happy","Ballot b"
2000,275,"62","Divorced","3","$15000 - 19999","Pretty happy","Ballot b"
2000,276,"27","Widowed","5","Don't know","Very happy","Ballot a"
2000,277,"Not applicable","Separated","3","$10000 - 14999","Not too happy","Ballot c"
2000,278,"Not applicable","Divorced","1","$8000 to 9999","Not too happy","Ballot a"
2000,279,"Not applicable","Widowed","4","$10000 - 14999","Not too happy","Ballot a"
2000,280,"Not applicable","Never married","6","$15000 - 19999","Pretty happy","Ballot c"
2000,281,"Not applicable","Never married","5","Lt $1000","Not too happy","Ballot a"
2000,282,"30","Never married","Eight or m","$6000 to 6999","No answer","Ballot b"
2000,283,"45","Married","2","Refused","Very happy","Ballot b"
2000,284,"25","Married","2","$15000 - 19999","Pretty happy","Ballot a"
2000,285,"Not applicable","Never married","0","Don't know","Pretty happy","Ballot c"
2000,286,"40","Never married","4","$20000 - 24999","Not too happy","Ballot c"
2000,287,"30","Never married","0","Refused","Pretty happy","Ballot b"
2000,288,"40","Divorced","2","Refused","Pretty happy","Ballot c"
2000,289,"40","Never married","1","Don't know","Pretty happy","Ballot c"
2000,290,"Not applicable","Divorced","3","$8000 to 9999","Not too happy","Ballot b"
2000,291,"40","Married","Eight or m","$10000 - 14999","Pretty happy","Ballot a"
2000,292,"40","Never married","0","$25000 or more","Pretty happy","Ballot a"
2000,293,"40","Separated","0","Refused","Pretty happy","Ballot a"
2000,294,"35","Separated","1","$15000 - 19999","Very happy","Ballot b"
2000,295,"Not applicable","Never married","0","Don't know","Not too happy","Ballot c"
2000,296,"80","Married","2","$25000 or more","Pretty happy","Ballot c"
2000,297,"Not applicable","Never married","1","$5000 to 5999","Not too happy","Ballot b"
2000,298,"64","Divorced","2","$15000 - 19999","Pretty happy","Ballot c"
2000,299,"22","Never married","4","No answer","Pretty happy","Ballot a"
2000,300,"37","Never married","2","$15000 - 19999","Pretty happy","Ballot b"
2000,301,"Not applicable","Never married","1","$7000 to 7999","Pretty happy","Ballot c"
2000,302,"Not applicable","Never married","4","$4000 to 4999","Not too happy","Ballot a"
2000,303,"35","Divorced","4","$3000 to 3999","Very happy","Ballot a"
2000,304,"40","Divorced","3","No answer","Pretty happy","Ballot b"
2000,305,"Not applicable","Married","3","$25000 or more","Pretty happy","Ballot a"
2000,306,"Not applicable","Married","5","$25000 or more","Pretty happy","Ballot a"
2000,307,"Not applicable","Married","2","$25000 or more","Pretty happy","Ballot c"
2000,308,"25","Married","1","$25000 or more","Pretty happy","Ballot b"
2000,309,"40","Married","0","$25000 or more","Very happy","Ballot a"
2000,310,"15","Divorced","4","$25000 or more","Very happy","Ballot c"
2000,311,"65","Married","1","$25000 or more","Pretty happy","Ballot b"
2000,312,"Not applicable","Married","3","$25000 or more","Very happy","Ballot c"
2000,313,"28","Married","1","$25000 or more","Very happy","Ballot b"
2000,314,"50","Never married","0","$25000 or more","Very happy","Ballot a"
2000,315,"45","Married","0","$25000 or more","Pretty happy","Ballot a"
2000,316,"40","Never married","0","$25000 or more","Pretty happy","Ballot b"
2000,317,"40","Never married","0","$25000 or more","Pretty happy","Ballot a"
2000,318,"40","Married","0","$25000 or more","Very happy","Ballot c"
2000,319,"Not applicable","Married","2","$25000 or more","Pretty happy","Ballot b"
2000,320,"50","Married","3","$25000 or more","Very happy","Ballot b"
2000,321,"40","Divorced","0","$25000 or more","Very happy","Ballot c"
2000,322,"40","Never married","0","$25000 or more","Pretty happy","Ballot c"
2000,323,"40","Never married","0","$25000 or more","Not too happy","Ballot c"
2000,324,"65","Married","3","$25000 or more","Pretty happy","Ballot b"
2000,325,"Not applicable","Married","2","$25000 or more","Pretty happy","Ballot b"
2000,326,"40","Married","0","$25000 or more","Very happy","Ballot b"
2000,327,"Not applicable","Never married","0","$25000 or more","Pretty happy","Ballot c"
2000,328,"20","Never married","0","$25000 or more","Pretty happy","Ballot a"
2000,329,"40","Never married","0","$15000 - 19999","Pretty happy","Ballot b"
2000,330,"40","Married","2","$25000 or more","Very happy","Ballot c"
2000,331,"40","Widowed","1","$25000 or more","Pretty happy","Ballot b"
2000,332,"40","Married","1","$25000 or more","Pretty happy","Ballot a"
2000,333,"40","Married","2","$25000 or more","Pretty happy","Ballot c"
2000,334,"Not applicable","Widowed","3","$25000 or more","Very happy","Ballot a"
2000,335,"25","Married","4","$25000 or more","Very happy","Ballot a"
2000,336,"68","Married","2","$25000 or more","Pretty happy","Ballot b"
2000,337,"44","Married","0","$25000 or more","Very happy","Ballot a"
2000,338,"19","Never married","0","$25000 or more","Pretty happy","Ballot c"
2000,339,"Not applicable","Never married","0","$25000 or more","Very happy","Ballot b"
2000,340,"75","Married","4","$25000 or more","Very happy","Ballot c"
2000,341,"55","Married","1","$25000 or more","Pretty happy","Ballot c"
2000,342,"70","Married","3","$25000 or more","Very happy","Ballot b"
2000,343,"40","Married","2","$25000 or more","Very happy","Ballot c"
2000,344,"15","Married","3","$25000 or more","Pretty happy","Ballot a"
2000,345,"40","Never married","0","$25000 or more","Pretty happy","Ballot a"
2000,346,"10","Married","1","Refused","Very happy","Ballot a"
2000,347,"40","Married","0","Refused","Very happy","Ballot c"
2000,348,"37","Never married","0","$20000 - 24999","Pretty happy","Ballot b"
2000,349,"56","Never married","0","$25000 or more","Not too happy","Ballot c"
2000,350,"Not applicable","Widowed","1","$25000 or more","Pretty happy","Ballot b"
2000,351,"Not applicable","Married","2","$25000 or more","Pretty happy","Ballot b"
2000,352,"Not applicable","Married","4","$20000 - 24999","Pretty happy","Ballot c"
2000,353,"20","Married","2","$25000 or more","Very happy","Ballot b"
2000,354,"Not applicable","Never married","0","Don't know","Pretty happy","Ballot a"
2000,355,"Not applicable","Married","3","$25000 or more","Pretty happy","Ballot b"
2000,356,"45","Married","3","$25000 or more","Very happy","Ballot a"
2000,357,"40","Never married","0","$25000 or more","Pretty happy","Ballot c"
2000,358,"48","Married","2","$25000 or more","Pretty happy","Ballot c"
2000,359,"45","Divorced","2","Don't know","Very happy","Ballot a"
